character,cimage,simage,?,?,sitem,3p+,cdesc,sdesc,artist
Isaac,,,,,The D6,FALSE,"
HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

The D6","↷: Choose a dice roll.
Its controller
rerolls it.
------------------------------
At the end of your
turn, recharge this.
-------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @KrystalFlamingo"
Maggy,,,,,Yum Heart,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Yum Heart","↷: Choose a player or
monster. Prevent the
next instance of damage
they would take this turn.
------------------------------
At the end of your
turn, recharge this.
------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @KrystalFlamingo"
Cain,,,,,Sleight of Hand,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
------------------------------
If you control this as the
game starts, you go first.
------------------------------
Starting item:

Sleight of Hand","↷: Look at the top
5 cards of a deck.
Put them back in
any order.
------------------------------
-Eternal-
(This can't be destroyed
or put into discard.)","Character art by @rojen241
Starting item art by @KrystalFlamingo

The starting item is a reference to the video game, The Legend of Bum-bo."
Judas,,,,,Book of Belial,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Book of Belial","↷: Add or subtract
1 from a roll.
------------------------------
At the end of your
turn, recharge this.
------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @KrystalFlamingo"
Blue Baby,,,,,Forever Alone,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Forever Alone","↷: Choose one-

•Steal 1¢ from another player.
------------------------------
•Look at the top card of a deck.
------------------------------
•Discard a loot card, then loot 1.
------------------------------
Each time you take damage,
recharge this.
------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @KrystalFlamingo

Unlocked via The Blue Womb stretch goal in the original Kickstarter."
Eve,,,,,The Curse,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

The Curse","At the start of your
turn, put the top card
of a deck into discard.
------------------------------
↷: Put the top card
of a discard on
top of its deck.
------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @KrystalFlamingo

Unlocked via The Caves stretch goal in the original Kickstarter."
Samson,,,,,Blood Lust,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Blood Lust","↷: Choose a player or
monster. They gain
+1 AT till end of turn.
------------------------------
At the end of your
turn, recharge this.
-------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @KrystalFlamingo

Unlocked via The Basement stretch goal in the original Kickstarter."
Lazarus,,,,,Lazarus' Rags,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Lazarus' Rags","Each time you die,
after paying penalties,
gain +1 treasure.
------------------------------
-Eternal-
(This can't be destroyed
or put into discard.)","Character art by @rojen241
Starting item art by @KrystalFlamingo

Unlocked via the I Am Error? stretch goal in the original Kickstarter."
Eden,,,N/A,,,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
------------------------------
When you start the game, look at
the top 3 cards of the treasure
deck and choose one. It becomes
your starting item and gains
eternal. Put the rest on the
bottom of the treasure deck.",N/A,"Art by @rojen241

Unlocked via The Chest stretch goal in the original Kickstarter."
Lilith,,,,,Incubus,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Incubus","↷: Choose one-

•Look at a player's hand.
You may swap a card from
your hand with one of theirs.
------------------------------
•Loot 1, then put a card
from your hand on top
of the loot deck.
------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @KrystalFlamingo

Unlocked via The Womb stretch goal in the original Kickstarter."
The Forgotten,,,,,The Bone,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

The Bone","↷: Put a counter on this.
------------------------------
$: Remove 1 counter from this:
Add 1 to a roll.
------------------------------
$: Remove 2 counters from this: Deal
1 damage to a monster or player.
------------------------------
$: Remove 5 counters from this:
This becomes a soul and
loses all abilities.
------------------------------
-Eternal-

(+1 soul)","Character art by @rojen241
Starting item art by @KrystalFlamingo

Unlocked via reaching $2,000,000 in the original Kickstarter."
,Expansions,,,,,,,,
,Gold Box,,,,,,,,
Azazel,,,,,Lord of the Pit,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Lord of the Pit","↷: Cancel an attack.
That player may
attack an additional
time this turn.
------------------------------
-Eternal-
(This can't be destroyed
or put into discard.)","Character art by @rojen241
Starting item art by @KrystalFlamingo
"
The Lost,,,,,Holy Mantle,FALSE,"HP: 1 | AT: 1

↷: Play an additional
loot card this turn.
------------------------------
At the end of your turn,
recharge up to 1 character.
------------------------------
Starting item:

Holy Mantle

(+1 soul)","↷: Choose a player. The
next time that player
would die this turn, prevent
it. If it's their turn, cancel
everything that hasn't
resolved and end it.
------------------------------
At the end of your
turn, recharge this.
------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @KrystalFlamingo
"
The Keeper,,,,,Wooden Nickel,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Wooden Nickel","↷: Choose a
player, then roll-

That player
gains ¢ equal
to the result.
------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @KrystalFlamingo
"
Apollyon,,,,,Void,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Void","↷: Choose one-

•Discard your hand,
then loot equal to the
number of cards discarded.
------------------------------
•Put a monster not
being attacked or a shop
item into discard.
------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @KrystalFlamingo
"
