title,card_type,description,artist
A Penny! (1),1¢ (2),Gain 1¢.,Art by @TikaratheMew
A Penny! (2),1¢ (2),Gain 1¢.,Art by @TikaratheMew
A Penny! (3),1¢ (2),Gain 1¢.,Art by @TikaratheMew
A Penny! (4),1¢ (2),Gain 1¢.,Art by @TikaratheMew
A Penny! (5),1¢ (2),Gain 1¢.,Art by @TikaratheMew
A Penny! (6),1¢ (2),Gain 1¢.,Art by @TikaratheMew
2 Cents! (1),2¢ (6),Gain 2¢.,Art by @TikaratheMew
2 Cents! (2),2¢ (6),Gain 2¢.,Art by @TikaratheMew
2 Cents! (3),2¢ (6),Gain 2¢.,Art by @TikaratheMew
2 Cents! (4),2¢ (6),Gain 2¢.,Art by @TikaratheMew
2 Cents! (5),2¢ (6),Gain 2¢.,Art by @TikaratheMew
2 Cents! (6),2¢ (6),Gain 2¢.,Art by @TikaratheMew
2 Cents! (7),2¢ (6),Gain 2¢.,Art by @TikaratheMew
2 Cents! (8),2¢ (6),Gain 2¢.,Art by @TikaratheMew
2 Cents! (9),2¢ (6),Gain 2¢.,Art by @TikaratheMew
2 Cents! (10),2¢ (6),Gain 2¢.,Art by @TikaratheMew
2 Cents! (11),2¢ (6),Gain 2¢.,Art by @TikaratheMew
2 Cents! (12),2¢ (6),Gain 2¢.,Art by @TikaratheMew
3 Cents! (1),3¢ (11),Gain 3¢.,Art by @TikaratheMew
3 Cents! (2),3¢ (11),Gain 3¢.,Art by @TikaratheMew
3 Cents! (3),3¢ (11),Gain 3¢.,Art by @TikaratheMew
3 Cents! (4),3¢ (11),Gain 3¢.,Art by @TikaratheMew
3 Cents! (5),3¢ (11),Gain 3¢.,Art by @TikaratheMew
3 Cents! (6),3¢ (11),Gain 3¢.,Art by @TikaratheMew
3 Cents! (7),3¢ (11),Gain 3¢.,Art by @TikaratheMew
3 Cents! (8),3¢ (11),Gain 3¢.,Art by @TikaratheMew
3 Cents! (9),3¢ (11),Gain 3¢.,Art by @TikaratheMew
3 Cents! (10),3¢ (11),Gain 3¢.,Art by @TikaratheMew
3 Cents! (11),3¢ (11),Gain 3¢.,Art by @TikaratheMew
3 Cents! (12),3¢ (11),Gain 3¢.,Art by @TikaratheMew
3 Cents! (13),3¢ (11),Gain 3¢.,Art by @TikaratheMew
3 Cents! (14),3¢ (11),Gain 3¢.,Art by @TikaratheMew
3 Cents! (15),3¢ (11),Gain 3¢.,Art by @TikaratheMew
4 Cents! (1),4¢ (12),Gain 4¢.,Art by @TikaratheMew
4 Cents! (2),4¢ (12),Gain 4¢.,Art by @TikaratheMew
4 Cents! (3),4¢ (12),Gain 4¢.,Art by @TikaratheMew
4 Cents! (4),4¢ (12),Gain 4¢.,Art by @TikaratheMew
4 Cents! (5),4¢ (12),Gain 4¢.,Art by @TikaratheMew
4 Cents! (6),4¢ (12),Gain 4¢.,Art by @TikaratheMew
4 Cents! (7),4¢ (12),Gain 4¢.,Art by @TikaratheMew
4 Cents! (8),4¢ (12),Gain 4¢.,Art by @TikaratheMew
4 Cents! (9),4¢ (12),Gain 4¢.,Art by @TikaratheMew
A Nickel! (1),Nickels (6),Gain 5¢.,Art by @TikaratheMew
A Nickel! (2),Nickels (6),Gain 5¢.,Art by @TikaratheMew
A Nickel! (3),Nickels (6),Gain 5¢.,Art by @TikaratheMew
A Nickel! (4),Nickels (6),Gain 5¢.,Art by @TikaratheMew
A Nickel! (5),Nickels (6),Gain 5¢.,Art by @TikaratheMew
A Dime!!,Nickels (6),Gain 10¢.,Art by @TikaratheMew
Butter Bean! (1),Butter Beans (5),"Cancel the ↷ or $
ability of an itemw
or a loot being
played.",Art by @TikaratheMew
Butter Bean! (2),Butter Beans (5),"Cancel the ↷ or $
ability of an item
or a loot being
played.",Art by @TikaratheMew
Butter Bean! (3),Butter Beans (5),"Cancel the ↷ or $
ability of an item
or a loot being
played.",Art by @TikaratheMew
Bomb! (1),Bombs (6),"Deal 1 damage
to a monster
or player.",Art by @TikaratheMew
Bomb! (2),Bombs (6),"Deal 1 damage
to a monster
or player.",Art by @TikaratheMew
Bomb! (3),Bombs (6),"Deal 1 damage
to a monster
or player.",Art by @TikaratheMew
Bomb! (4),Bombs (6),"Deal 1 damage
to a monster
or player.",Art by @TikaratheMew
Gold Bomb!!,Bombs (6),"Deal 3 damage
to a monster
or player.",Art by @TikaratheMew
Lil Battery (1),Batteries (6),"Recharge
an item.",Art by @TikaratheMew
Lil Battery (2),Batteries (6),"Recharge
an item.",Art by @TikaratheMew
Lil Battery (3),Batteries (6),"Recharge
an item.",Art by @TikaratheMew
Lil Battery (4),Batteries (6),"Recharge
an item.",Art by @TikaratheMew
Mega Battery,Batteries (6),"Choose a player.
Recharge each item
they control.",Art by @TikaratheMew
Dice Shard (1),Dice Shards / Soul Hearts (5),"Choose a dice roll.
Its controller
rerolls it.",Art by @TikaratheMew
Dice Shard (2),Dice Shards / Soul Hearts (5),"Choose a dice roll.
Its controller
rerolls it.",Art by @TikaratheMew
Dice Shard (3),Dice Shards / Soul Hearts (5),"Choose a dice roll.
Its controller
rerolls it.",Art by @TikaratheMew
Soul Heart (1),Dice Shards / Soul Hearts (5),"Choose a player.
Prevent the next 1
damage they would
take this turn.",Art by @TikaratheMew
Soul Heart (2),Dice Shards / Soul Hearts (5),"Choose a player.
Prevent the next 1
damage they would
take this turn.",Art by @TikaratheMew
Pills! (1),Pills / Runes (6),"Roll:

1-2: You gain +1 AT
till end of turn.
------------------------------
3-4: You gain +1 HP
till end of turn.
------------------------------
5-6: Take 1 damage.",Art by @TikaratheMew
Pills! (2),Pills / Runes (6),"Roll-

1-2: Loot 1.
------------------------------
3-4: Loot 3.
------------------------------
5-6: Discard 1
loot card.",Art by @TikaratheMew
Pills! (3),Pills / Runes (6),"Roll-

1-2: Gain 4¢.
------------------------------
3-4: Gain 7¢.
------------------------------
5-6: Lose 4¢.",Art by @TikaratheMew
Ehwaz,Pills / Runes (6),"Put each monster not
being attacked into
discard and replace
each with the top card
of the monster deck.","Art by @TikaratheMew

Unlocked via dealing 700,000 damage to Delirium during the original Kickstarter."
Dagaz,Pills / Runes (6),"Choose one-

•Destroy a curse.
------------------------------
•Choose a player.
Prevent the next 1
damage they would
take this turn.",Art by @TikaratheMew
Blank Rune,Pills / Runes (6),"Roll-

1: Each player gains 1¢.
------------------------------
2: Each player loots 2.
------------------------------
3: Each player takes 3 damage.
------------------------------
4: Each player gains 4¢.
------------------------------
5: Each player loots 5.
------------------------------
6: Each player gains 6¢.",Art by @TikaratheMew
Bloody Penny,Trinkets (11),"Each time a player
dies, before paying
penalties, loot 1.
------------------------------
-Trinket-
(This loot becomes an item under
your control when it resolves.)",Art by @TikaratheMew
Swallowed Penny,Trinkets (11),"Each time you
take damage,
gain 1¢.
------------------------------
-Trinket-
(This loot becomes an item under
your control when it resolves.)",Art by @TikaratheMew
