title,image,3p+,card_type,description,artist
The Relic,,FALSE,Passive Items (44),"Each time
a player rolls
a 1, loot 1.",Art by @TikaratheMew
Dad's Lost Coin,,FALSE,Passive Items (44),"Each time a player
would roll a 1, you
may force that player
to reroll it.",Art by @TikaratheMew
Finger!,,FALSE,Passive Items (44),"Each time a player
rolls a 2, you may
swap a non-eternal
item you control with
a non-eternal item
they control.",Art by @TikaratheMew
Charged Baby,,FALSE,Passive Items (44),"Each time a player
rolls a 2, you may
recharge an item.",Art by @TikaratheMew
The D10,,FALSE,Passive Items (44),"Each time a player
rolls a 3, you may
put the top card of
the monster deck in
a monster slot not
being attacked.",Art by @TikaratheMew
Tarot Cloth,,FALSE,Passive Items (44),"Each time a
player rolls a 4,
they must give you
a loot card.",Art by @TikaratheMew
Mom's Box,,FALSE,Passive Items (44),"Each time a
player rolls a 4,
you may loot 1,
then discard a
loot card.",Art by @TikaratheMew
Mom's Razor,,FALSE,Passive Items (44),"Each time a
player rolls a 6,
you may deal 1
damage to them.",Art by @TikaratheMew
Mom's Purse,,FALSE,Passive Items (44),"Loot +1 during
your loot step.
------------------------------
""Whoever walks in integrity
walks securely, but he who
makes his ways crooked
will be found out.""
Proverbs 10:9",Art by TAR_HEAD
Mom's Coin Purse,,FALSE,Passive Items (44),"Loot +1 during
your loot step.
------------------------------
""Be sober-minded; be
watchful.  Your adversary
the devil prowls like
a roaring lion.""
1 Peter 5:8",Art by TAR_HEAD
Spider Mod,,FALSE,Passive Items (44),"Each time a player
rolls a 5, you may put
a monster not being
attacked into discard
and replace it with
the top card of the
monster deck.",Art by @TikaratheMew
Eye of Greed,,FALSE,Passive Items (44),"Each time a player
rolls a 5, gain 3¢.",Art by @TikaratheMew
Cheese Grater,,FALSE,Passive Items (44),"Each time a player
rolls a 6, reveal
the top card of any
deck. Put it back or
put it into discard.",Art by @TikaratheMew
Dead Bird,,FALSE,Passive Items (44),"Each time a player
rolls a 3, you may
look at their hand
and steal a loot
card from them.",Art by @TikaratheMew
Dinner,,FALSE,Passive Items (44),"+1 HP
------------------------------
""Do not give what is holy
to dogs, and do not throw
your pearls before swine.""
Matthew 7:6",Art by TAR_HEAD
Breakfast,,FALSE,Passive Items (44),"+1 HP
------------------------------
""I gave you milk to drink,
not solid food; for you were
not yet able to receive it.""
Corinthians 3:2",Art by TAR_HEAD
Synthoil,,FALSE,Passive Items (44),"You have +1 to
attack rolls.
------------------------------
""He gives power to the faint,
and to him who has no might
He increases strength.""
Isaiah 40:29",Art by TAR_HEAD
